Tiểu Hàn,Đại Hàn,Lập Xuân,Vũ Thủy,Kinh Trập,Xuân Phân,Thanh Minh,Cốc Vũ,Lập Hạ,Tiểu Mãn,Mang Chủng,Hạ Chí,Tiểu Thử,Đại Thử,Lập Thu,Xử Thử,Bạch Lộ,Thu Phân,Hàn Lộ,Sương Giáng,Lập Đông,Tiểu Tuyết,Đại Tuyết,Đông Chí
01/05/1990,01/20/1990,02/04/1990,02/19/1990,03/06/1990,03/21/1990,04/05/1990,04/20/1990,05/06/1990,05/21/1990,06/06/1990,06/21/1990,07/07/1990,07/23/1990,08/08/1990,08/23/1990,09/08/1990,09/23/1990,10/08/1990,10/23/1990,11/07/1990,11/22/1990,12/07/1990,12/22/1990
01/06/1991,01/20/1991,02/04/1991,02/19/1991,03/06/1991,03/21/1991,04/05/1991,04/20/1991,05/06/1991,05/21/1991,06/06/1991,06/21/1991,07/07/1991,07/23/1991,08/08/1991,08/23/1991,09/08/1991,09/23/1991,10/08/1991,10/23/1991,11/07/1991,11/22/1991,12/07/1991,12/22/1991
01/06/1992,01/21/1992,02/04/1992,02/19/1992,03/05/1992,03/20/1992,04/04/1992,04/20/1992,05/05/1992,05/21/1992,06/05/1992,06/21/1992,07/07/1992,07/22/1992,08/07/1992,08/23/1992,09/07/1992,09/22/1992,10/08/1992,10/23/1992,11/07/1992,11/22/1992,12/07/1992,12/21/1992
01/05/1993,01/20/1993,02/04/1993,02/18/1993,03/05/1993,03/20/1993,04/04/1993,04/20/1993,05/05/1993,05/21/1993,06/06/1993,06/21/1993,07/07/1993,07/23/1993,08/07/1993,08/23/1993,09/07/1993,09/23/1993,10/08/1993,10/23/1993,11/07/1993,11/22/1993,12/07/1993,12/21/1993
01/05/1994,01/20/1994,02/04/1994,02/19/1994,03/06/1994,03/21/1994,04/05/1994,04/20/1994,05/06/1994,05/21/1994,06/06/1994,06/21/1994,07/07/1994,07/23/1994,08/08/1994,08/23/1994,09/08/1994,09/23/1994,10/08/1994,10/23/1994,11/07/1994,11/22/1994,12/07/1994,12/22/1994
01/05/1995,01/20/1995,02/04/1995,02/19/1995,03/06/1995,03/21/1995,04/05/1995,04/20/1995,05/06/1995,05/21/1995,06/06/1995,06/21/1995,07/07/1995,07/23/1995,08/08/1995,08/23/1995,09/08/1995,09/23/1995,10/08/1995,10/23/1995,11/07/1995,11/22/1995,12/07/1995,12/22/1995
01/06/1996,01/20/1996,02/04/1996,02/19/1996,03/05/1996,03/20/1996,04/04/1996,04/19/1996,05/05/1996,05/20/1996,06/05/1996,06/21/1996,07/07/1996,07/22/1996,08/07/1996,08/23/1996,09/07/1996,09/22/1996,10/08/1996,10/23/1996,11/07/1996,11/22/1996,12/07/1996,12/21/1996
01/05/1997,01/20/1997,02/04/1997,02/18/1997,03/05/1997,03/20/1997,04/05/1997,04/20/1997,05/05/1997,05/21/1997,06/05/1997,06/21/1997,07/07/1997,07/23/1997,08/07/1997,08/23/1997,09/07/1997,09/23/1997,10/08/1997,10/23/1997,11/07/1997,11/22/1997,12/07/1997,12/21/1997
01/05/1998,01/20/1998,02/04/1998,02/19/1998,03/06/1998,03/21/1998,04/05/1998,04/20/1998,05/06/1998,05/21/1998,06/06/1998,06/21/1998,07/07/1998,07/23/1998,08/08/1998,08/23/1998,09/08/1998,09/23/1998,10/08/1998,10/23/1998,11/07/1998,11/22/1998,12/07/1998,12/22/1998
01/05/1999,01/20/1999,02/04/1999,02/19/1999,03/06/1999,03/21/1999,04/05/1999,04/20/1999,05/06/1999,05/21/1999,06/06/1999,06/21/1999,07/07/1999,07/23/1999,08/08/1999,08/23/1999,09/08/1999,09/23/1999,10/08/1999,10/23/1999,11/07/1999,11/22/1999,12/07/1999,12/22/1999
01/06/2000,01/20/2000,02/04/2000,02/19/2000,03/05/2000,03/20/2000,04/04/2000,04/20/2000,05/05/2000,05/21/2000,06/05/2000,06/21/2000,07/07/2000,07/22/2000,08/07/2000,08/23/2000,09/07/2000,09/22/2000,10/08/2000,10/23/2000,11/07/2000,11/22/2000,12/07/2000,12/21/2000
01/05/2001,01/20/2001,02/04/2001,02/18/2001,03/05/2001,03/20/2001,04/05/2001,04/20/2001,05/05/2001,05/21/2001,06/05/2001,06/21/2001,07/07/2001,07/23/2001,08/07/2001,08/23/2001,09/07/2001,09/23/2001,10/08/2001,10/23/2001,11/07/2001,11/22/2001,12/07/2001,12/21/2001
01/05/2002,01/20/2002,02/04/2002,02/19/2002,03/06/2002,03/21/2002,04/05/2002,04/20/2002,05/06/2002,05/21/2002,06/06/2002,06/21/2002,07/07/2002,07/23/2002,08/08/2002,08/23/2002,09/08/2002,09/23/2002,10/08/2002,10/23/2002,11/07/2002,11/22/2002,12/07/2002,12/22/2002
01/05/2003,01/20/2003,02/04/2003,02/19/2003,03/06/2003,03/21/2003,04/05/2003,04/20/2003,05/06/2003,05/21/2003,06/06/2003,06/22/2003,07/07/2003,07/23/2003,08/08/2003,08/23/2003,09/08/2003,09/23/2003,10/08/2003,10/23/2003,11/07/2003,11/22/2003,12/07/2003,12/22/2003
01/06/2004,01/20/2004,02/04/2004,02/19/2004,03/05/2004,03/20/2004,04/04/2004,04/20/2004,05/05/2004,05/21/2004,06/05/2004,06/21/2004,07/07/2004,07/22/2004,08/07/2004,08/23/2004,09/07/2004,09/22/2004,10/08/2004,10/23/2004,11/07/2004,11/22/2004,12/07/2004,12/21/2004
01/05/2005,01/20/2005,02/04/2005,02/18/2005,03/05/2005,03/20/2005,04/04/2005,04/20/2005,05/05/2005,05/21/2005,06/05/2005,06/21/2005,07/07/2005,07/22/2005,08/07/2005,08/23/2005,09/07/2005,09/23/2005,10/08/2005,10/23/2005,11/07/2005,11/22/2005,12/07/2005,12/21/2005
01/05/2006,01/20/2006,02/04/2006,02/19/2006,03/06/2006,03/21/2006,04/05/2006,04/20/2006,05/06/2006,05/21/2006,06/06/2006,06/21/2006,07/07/2006,07/23/2006,08/08/2006,08/23/2006,09/08/2006,09/23/2006,10/08/2006,10/23/2006,11/07/2006,11/22/2006,12/07/2006,12/22/2006
01/06/2007,01/20/2007,02/04/2007,02/19/2007,03/06/2007,03/21/2007,04/05/2007,04/20/2007,05/06/2007,05/21/2007,06/06/2007,06/22/2007,07/07/2007,07/23/2007,08/08/2007,08/23/2007,09/08/2007,09/23/2007,10/08/2007,10/23/2007,11/07/2007,11/22/2007,12/07/2007,12/22/2007
01/06/2008,01/21/2008,02/04/2008,02/19/2008,03/05/2008,03/20/2008,04/04/2008,04/20/2008,05/05/2008,05/21/2008,06/05/2008,06/21/2008,07/07/2008,07/22/2008,08/07/2008,08/23/2008,09/07/2008,09/22/2008,10/08/2008,10/23/2008,11/07/2008,11/22/2008,12/07/2008,12/21/2008
01/05/2009,01/20/2009,02/04/2009,02/18/2009,03/05/2009,03/20/2009,04/04/2009,04/20/2009,05/05/2009,05/21/2009,06/05/2009,06/21/2009,07/07/2009,07/22/2009,08/07/2009,08/23/2009,09/07/2009,09/23/2009,10/08/2009,10/23/2009,11/07/2009,11/22/2009,12/07/2009,12/21/2009
01/05/2010,01/20/2010,02/04/2010,02/19/2010,03/06/2010,03/21/2010,04/05/2010,04/20/2010,05/06/2010,05/21/2010,06/06/2010,06/21/2010,07/07/2010,07/23/2010,08/08/2010,08/23/2010,09/08/2010,09/23/2010,10/08/2010,10/23/2010,11/07/2010,11/22/2010,12/07/2010,12/22/2010
01/06/2011,01/20/2011,02/04/2011,02/19/2011,03/06/2011,03/21/2011,04/05/2011,04/20/2011,05/06/2011,05/21/2011,06/06/2011,06/22/2011,07/07/2011,07/23/2011,08/08/2011,08/23/2011,09/08/2011,09/23/2011,10/08/2011,10/23/2011,11/07/2011,11/22/2011,12/07/2011,12/22/2011
01/06/2012,01/21/2012,02/04/2012,02/19/2012,03/05/2012,03/20/2012,04/04/2012,04/20/2012,05/05/2012,05/20/2012,06/05/2012,06/21/2012,07/07/2012,07/22/2012,08/07/2012,08/23/2012,09/07/2012,09/22/2012,10/08/2012,10/23/2012,11/07/2012,11/22/2012,12/07/2012,12/21/2012
01/05/2013,01/20/2013,02/04/2013,02/18/2013,03/05/2013,03/20/2013,04/04/2013,04/20/2013,05/05/2013,05/21/2013,06/05/2013,06/21/2013,07/07/2013,07/22/2013,08/07/2013,08/23/2013,09/07/2013,09/23/2013,10/08/2013,10/23/2013,11/07/2013,11/22/2013,12/07/2013,12/21/2013
01/05/2014,01/20/2014,02/04/2014,02/19/2014,03/06/2014,03/21/2014,04/05/2014,04/20/2014,05/06/2014,05/21/2014,06/06/2014,06/21/2014,07/07/2014,07/23/2014,08/08/2014,08/23/2014,09/08/2014,09/23/2014,10/08/2014,10/23/2014,11/07/2014,11/22/2014,12/07/2014,12/22/2014
01/06/2015,01/20/2015,02/04/2015,02/19/2015,03/06/2015,03/21/2015,04/05/2015,04/20/2015,05/06/2015,05/21/2015,06/06/2015,06/22/2015,07/07/2015,07/23/2015,08/08/2015,08/23/2015,09/08/2015,09/23/2015,10/08/2015,10/23/2015,11/07/2015,11/22/2015,12/07/2015,12/22/2015
01/06/2016,01/20/2016,02/04/2016,02/19/2016,03/05/2016,03/20/2016,04/04/2016,04/19/2016,05/05/2016,05/20/2016,06/05/2016,06/21/2016,07/07/2016,07/22/2016,08/07/2016,08/23/2016,09/07/2016,09/22/2016,10/08/2016,10/23/2016,11/07/2016,11/22/2016,12/07/2016,12/21/2016
01/05/2017,01/20/2017,02/03/2017,02/18/2017,03/05/2017,03/20/2017,04/04/2017,04/20/2017,05/05/2017,05/21/2017,06/05/2017,06/21/2017,07/07/2017,07/22/2017,08/07/2017,08/23/2017,09/07/2017,09/23/2017,10/08/2017,10/23/2017,11/07/2017,11/22/2017,12/07/2017,12/21/2017
01/05/2018,01/20/2018,02/04/2018,02/19/2018,03/05/2018,03/21/2018,04/05/2018,04/20/2018,05/05/2018,05/21/2018,06/06/2018,06/21/2018,07/07/2018,07/23/2018,08/07/2018,08/23/2018,09/08/2018,09/23/2018,10/08/2018,10/23/2018,11/07/2018,11/22/2018,12/07/2018,12/22/2018
01/05/2019,01/20/2019,02/04/2019,02/19/2019,03/06/2019,03/21/2019,04/05/2019,04/20/2019,05/06/2019,05/21/2019,06/06/2019,06/21/2019,07/07/2019,07/23/2019,08/08/2019,08/23/2019,09/08/2019,09/23/2019,10/08/2019,10/23/2019,11/07/2019,11/22/2019,12/07/2019,12/22/2019
01/06/2020,01/20/2020,02/04/2020,02/19/2020,03/05/2020,03/20/2020,04/04/2020,04/19/2020,05/05/2020,05/20/2020,06/05/2020,06/21/2020,07/06/2020,07/22/2020,08/07/2020,08/22/2020,09/07/2020,09/22/2020,10/08/2020,10/23/2020,11/07/2020,11/22/2020,12/07/2020,12/21/2020
01/05/2021,01/20/2021,02/03/2021,02/18/2021,03/05/2021,03/20/2021,04/04/2021,04/20/2021,05/05/2021,05/21/2021,06/05/2021,06/21/2021,07/07/2021,07/22/2021,08/07/2021,08/23/2021,09/07/2021,09/23/2021,10/08/2021,10/23/2021,11/07/2021,11/22/2021,12/07/2021,12/21/2021
01/05/2022,01/20/2022,02/04/2022,02/19/2022,03/05/2022,03/20/2022,04/05/2022,04/20/2022,05/05/2022,05/21/2022,06/06/2022,06/21/2022,07/07/2022,07/23/2022,08/07/2022,08/23/2022,09/07/2022,09/23/2022,10/08/2022,10/23/2022,11/07/2022,11/22/2022,12/07/2022,12/22/2022
01/05/2023,01/20/2023,02/04/2023,02/19/2023,03/06/2023,03/21/2023,04/05/2023,04/20/2023,05/06/2023,05/21/2023,06/06/2023,06/21/2023,07/07/2023,07/23/2023,08/08/2023,08/23/2023,09/08/2023,09/23/2023,10/08/2023,10/24/2023,11/08/2023,11/22/2023,12/07/2023,12/22/2023
01/06/2024,01/20/2024,02/04/2024,02/19/2024,03/05/2024,03/20/2024,04/04/2024,04/19/2024,05/05/2024,05/20/2024,06/05/2024,06/21/2024,07/06/2024,07/22/2024,08/07/2024,08/22/2024,09/07/2024,09/22/2024,10/08/2024,10/23/2024,11/07/2024,11/22/2024,12/06/2024,12/21/2024
01/05/2025,01/20/2025,02/03/2025,02/18/2025,03/05/2025,03/20/2025,04/04/2025,04/20/2025,05/05/2025,05/21/2025,06/05/2025,06/21/2025,07/07/2025,07/22/2025,08/07/2025,08/23/2025,09/07/2025,09/22/2025,10/08/2025,10/23/2025,11/07/2025,11/22/2025,12/07/2025,12/21/2025
01/05/2026,01/20/2026,02/04/2026,02/18/2026,03/05/2026,03/20/2026,04/05/2026,04/20/2026,05/05/2026,05/21/2026,06/05/2026,06/21/2026,07/07/2026,07/23/2026,08/07/2026,08/23/2026,09/07/2026,09/23/2026,10/08/2026,10/23/2026,11/07/2026,11/22/2026,12/07/2026,12/22/2026
01/05/2027,01/20/2027,02/04/2027,02/19/2027,03/06/2027,03/21/2027,04/05/2027,04/20/2027,05/05/2027,05/21/2027,06/06/2027,06/21/2027,07/07/2027,07/23/2027,08/07/2027,08/23/2027,09/07/2027,09/23/2027,10/08/2027,10/23/2027,11/07/2027,11/22/2027,12/07/2027,12/22/2027
